Time (EST)	Latitude	Longitude	Course	kts	mph	Altitude	Rate	Reporting Facility
Sat 05:06:19 PM	33.801	-114.5153	? 278¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:06:49 PM	33.8085	-114.5815	? 278¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:07:19 PM	33.8161	-114.6482	? 278¡	400.00	460.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:07:49 PM	33.8235	-114.7139	? 278¡	400.00	460.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:08:19 PM	33.8309	-114.7786	? 278¡	400.00	460.00	32000.00	Level	ÊFlightAware ADS-BÊ(KSGU)
Sat 05:08:49 PM	33.8387	-114.8472	? 278¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:09:19 PM	33.8461	-114.913	? 278¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KSGU)
Sat 05:09:49 PM	33.8534	-114.9789	? 277¡	401.00	461.00	32000.00	Level	ÊFlightAware ADS-BÊ(KEMT)
Sat 05:10:20 PM	33.8608	-115.0458	? 278¡	404.00	465.00	32000.00	Level	ÊFlightAware ADS-BÊ(KBTY)
Sat 05:10:50 PM	33.8683	-115.1143	? 278¡	406.00	467.00	32000.00	-375Ê	ÊFlightAware ADS-BÊ(KHII)
Sat 05:11:20 PM	33.8756	-115.1807	? 278¡	405.00	466.00	31625.00	-850Ê	ÊFlightAware ADS-BÊ(KNYL)
Sat 05:11:50 PM	33.883	-115.2474	? 278¡	410.00	472.00	31150.00	-975Ê	ÊFlightAware ADS-BÊ(KSAN)
Sat 05:12:20 PM	33.8904	-115.3153	? 278¡	408.00	470.00	30650.00	"-1,000Ê"	ÊFlightAware ADS-BÊ(KCRQ)
Sat 05:12:50 PM	33.8978	-115.3825	? 277¡	401.00	461.00	30150.00	-650Ê	ÊFlightAware ADS-BÊ(KNYL)
Sat 05:13:20 PM	33.905	-115.45	? 277¡	401.00	461.00	30000.00	-150Ê	ÊFlightAware ADS-BÊ(KCRQ)
Sat 05:13:50 PM	33.9122	-115.5177	? 277¡	400.00	460.00	30000.00	25Ê	ÊFlightAware ADS-BÊ(KTOA)
Sat 05:14:21 PM	33.9192	-115.5833	? 277¡	413.00	475.00	30025.00	Level	ÊFlightAware ADS-BÊ(KRIV)
Sat 05:14:51 PM	33.9263	-115.6521	? 276¡	416.00	479.00	30000.00	-25Ê	ÊFlightAware ADS-BÊ(KSAN)
Sat 05:15:21 PM	33.9315	-115.722	? 275¡	416.00	479.00	30000.00	Level	ÊFlightAware ADS-BÊ(KUDD)
Sat 05:15:52 PM	33.9365	-115.7948	? 275¡	415.00	478.00	30000.00	Level	ÊFlightAware ADS-BÊ(KSDM)
Sat 05:16:22 PM	33.9412	-115.8628	? 275¡	415.00	478.00	30000.00	Level	ÊFlightAware ADS-BÊ(KUDD)
Sat 05:16:52 PM	33.9461	-115.9322	? 275¡	415.00	478.00	30000.00	-425Ê	ÊFlightAware ADS-BÊ(KLAS)
Sat 05:17:22 PM	33.9509	-116.0013	? 275¡	415.00	478.00	29575.00	-925Ê	ÊFlightAware ADS-BÊ(KLSV)
Sat 05:17:52 PM	33.9558	-116.0705	? 275¡	414.00	476.00	29075.00	-975Ê	ÊFlightAware ADS-BÊ(KPMD)
Sat 05:18:22 PM	33.9605	-116.1375	? 275¡	410.00	472.00	28600.00	-955Ê	ÊFlightAware ADS-BÊ(KNID)
Sat 05:18:47 PM	33.9634	-116.1963	? 270¡	414.00	476.00	28200.00	"-1,151Ê"	ÊFlightAware ADS-BÊ(KIYK)
Sat 05:19:05 PM	33.9609	-116.2364	? 262¡	416.00	479.00	27775.00	"-2,250Ê"	ÊFlightAware ADS-BÊ(KFUL)
Sat 05:19:35 PM	33.9526	-116.3031	? 261¡	408.00	470.00	26400.00	"-2,775Ê"	ÊFlightAware ADS-BÊ(KNFG)
Sat 05:20:05 PM	33.9442	-116.37	? 261¡	397.00	457.00	25000.00	"-2,825Ê"	ÊFlightAware ADS-BÊ(KNKX)
Sat 05:20:35 PM	33.9358	-116.4359	? 262¡	390.00	449.00	23575.00	"-2,900Ê"	ÊFlightAware ADS-BÊ(KCNO)
Sat 05:21:05 PM	33.928	-116.4995	? 262¡	386.00	444.00	22100.00	"-3,025Ê"	ÊFlightAware ADS-BÊ(KHMT)
Sat 05:21:35 PM	33.9202	-116.5633	? 262¡	384.00	442.00	20550.00	"-2,500Ê"	ÊFlightAware ADS-BÊ(KNKX)
Sat 05:22:05 PM	33.9122	-116.6248	? 261¡	377.00	434.00	19600.00	"-1,800Ê"	ÊFlightAware ADS-BÊ(KUDD)
Sat 05:22:35 PM	33.904	-116.6874	? 261¡	370.00	426.00	18750.00	"-1,400Ê"	ÊFlightAware ADS-BÊ(KUDD)
Sat 05:23:05 PM	33.8963	-116.7476	? 261¡	347.00	399.00	18200.00	"-1,050Ê"	ÊFlightAware ADS-BÊ(KCRQ)
Sat 05:23:35 PM	33.8898	-116.8017	? 263¡	338.00	389.00	17700.00	"-2,025Ê"	ÊFlightAware ADS-BÊ(KCXL)
Sat 05:24:05 PM	33.8839	-116.8599	? 263¡	346.00	398.00	16175.00	"-2,700Ê"	ÊFlightAware ADS-BÊ(KSEE)
Sat 05:24:35 PM	33.8778	-116.9154	? 263¡	345.00	397.00	15000.00	"-2,325Ê"	ÊFlightAware ADS-BÊ(KPMD)
Sat 05:25:05 PM	33.8716	-116.9738	? 263¡	343.00	395.00	13850.00	"-1,650Ê"	ÊFlightAware ADS-BÊ(KSBD)
Sat 05:25:35 PM	33.8652	-117.0297	? 262¡	325.00	374.00	13350.00	"-1,550Ê"	ÊFlightAware ADS-BÊ(KCRQ)
Sat 05:26:05 PM	33.8594	-117.0823	? 263¡	323.00	372.00	12300.00	"-2,075Ê"	ÊFlightAware ADS-BÊ(KAJO)
Sat 05:26:35 PM	33.8535	-117.1353	? 262¡	320.00	368.00	11275.00	"-2,000Ê"	ÊFlightAware ADS-BÊ(KAJO)
Sat 05:27:05 PM	33.8475	-117.1873	? 262¡	317.00	365.00	10300.00	"-1,525Ê"	ÊFlightAware ADS-BÊ(KVCV)
Sat 05:27:35 PM	33.8416	-117.2399	? 263¡	305.00	351.00	9750.00	-575Ê	ÊFlightAware ADS-BÊ(KSMO)
Sat 05:28:05 PM	33.8364	-117.2876	? 262¡	276.00	318.00	9725.00	-675Ê	ÊFlightAware ADS-BÊ(KSBD)
Sat 05:28:35 PM	33.8312	-117.3331	? 262¡	272.00	313.00	9075.00	"-1,325Ê"	ÊFlightAware ADS-BÊ(KFUL)
Sat 05:29:05 PM	33.826	-117.3764	? 262¡	270.00	311.00	8400.00	"-1,175Ê"	ÊFlightAware ADS-BÊ(KONT)
Sat 05:29:35 PM	33.8212	-117.4202	? 262¡	260.00	299.00	7900.00	-721Ê	ÊFlightAware ADS-BÊ(KWHP)
Sat 05:29:57 PM	33.8162	-117.4534	? 255¡	247.00	284.00	7775.00	-144Ê	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:30:27 PM	33.805	-117.4904	? 250¡	250.00	288.00	7775.00	Level	ÊFlightAware ADS-BÊ(KHMT)
Sat 05:30:57 PM	33.7931	-117.5297	? 250¡	251.00	289.00	7775.00	Level	ÊFlightAware ADS-BÊ(KSEE)
Sat 05:31:27 PM	33.7811	-117.5688	? 250¡	253.00	291.00	7775.00	-75Ê	ÊFlightAware ADS-BÊ(KOKB)
Sat 05:31:57 PM	33.7691	-117.6085	? 250¡	246.00	283.00	7700.00	-650Ê	ÊFlightAware ADS-BÊ(KRIV)
Sat 05:32:27 PM	33.7572	-117.6471	? 251¡	245.00	282.00	7125.00	"-1,133Ê"	ÊFlightAware ADS-B
Sat 05:32:46 PM	33.7502	-117.6711	? 252¡	243.00	280.00	6775.00	"-1,163Ê"	ÊFlightAware ADS-BÊ(KOKB)
Sat 05:33:16 PM	33.7388	-117.7099	? 250¡	242.00	278.00	6175.00	"-1,175Ê"	ÊFlightAware ADS-BÊ(KTOA)
Sat 05:33:46 PM	33.7276	-117.7474	? 251¡	243.00	280.00	5600.00	"-1,275Ê"	ÊFlightAware ADS-B
Sat 05:34:16 PM	33.7164	-117.7848	? 250¡	247.00	284.00	4900.00	"-1,313Ê"	ÊFlightAware ADS-BÊ(KEMT)
Sat 05:34:26 PM	33.7124	-117.7983	? 250¡	247.00	284.00	4725.00	"-1,219Ê"	ÊSurface and Near-Surface
Sat 05:34:32 PM	33.7099	-117.8063	? 250¡	247.00	284.00	4575.00	"-1,159Ê"	ÊFlightAware ADS-BÊ(KCPM)
Sat 05:34:48 PM	33.7041	-117.8257	? 250¡	246.00	283.00	4300.00	"-1,125Ê"	ÊFlightAware ADS-BÊ(KPAI)
Sat 05:35:04 PM	33.6976	-117.8474	? 251¡	245.00	282.00	3975.00	-984Ê	ÊFlightAware ADS-BÊ(KSNA)
Sat 05:35:20 PM	33.6917	-117.8675	? 251¡	242.00	278.00	3775.00	-375Ê	ÊFlightAware ADS-BÊ(KPOC)
Sat 05:35:36 PM	33.6857	-117.8878	? 250¡	238.00	274.00	3775.00	Level	ÊFlightAware ADS-BÊ(KBUR)
Sat 05:35:52 PM	33.68	-117.9065	? 250¡	237.00	273.00	3775.00	-47Ê	ÊFlightAware ADS-BÊ(KONT)
Sat 05:36:08 PM	33.6739	-117.9267	? 251¡	231.00	266.00	3750.00	-375Ê	ÊFlightAware ADS-BÊ(KSNA)
