Time (EST)	Latitude	Longitude	Altitude	Course	kts	mph	Rate	Reporting Facility
Fri 08:17:11 PM	33.6293	-116.0095	29000.00	? 92¡	461.00	531.00	Level	ÊFlightAware ADS-BÊ(KNKX)
Fri 08:17:42 PM	33.6274	-115.9303	29000.00	? 92¡	462.00	532.00	Level	ÊFlightAware ADS-BÊ(KPOC)
Fri 08:18:12 PM	33.6253	-115.8538	29000.00	? 92¡	462.00	532.00	Level	ÊFlightAware ADS-BÊ(KEMT)
Fri 08:18:42 PM	33.6232	-115.7775	29000.00	? 92¡	463.00	533.00	Level	ÊFlightAware ADS-BÊ(KSAN)
Fri 08:19:12 PM	33.6209	-115.7018	29000.00	? 92¡	466.00	536.00	Level	ÊFlightAware ADS-BÊ(KSAN)
Fri 08:19:42 PM	33.6187	-115.6227	29000.00	? 92¡	469.00	540.00	Level	ÊFlightAware ADS-BÊ(KSAN)
Fri 08:20:12 PM	33.6165	-115.5461	29000.00	? 92¡	471.00	542.00	Level	ÊFlightAware ADS-BÊ(KSAN)
Fri 08:20:42 PM	33.6147	-115.4648	29000.00	? 92¡	473.00	544.00	Level	ÊFlightAware ADS-BÊ(KSAN)
Fri 08:21:12 PM	33.613	-115.3878	29000.00	? 91¡	475.00	547.00	Level	ÊFlightAware ADS-BÊ(KHII)
Fri 08:21:42 PM	33.6112	-115.3092	29000.00	? 92¡	476.00	548.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:22:12 PM	33.6092	-115.2284	29000.00	? 92¡	477.00	549.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:22:42 PM	33.6072	-115.1498	29000.00	? 92¡	478.00	550.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:23:13 PM	33.605	-115.0686	29000.00	? 92¡	478.00	550.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:23:43 PM	33.6027	-114.9884	29000.00	? 92¡	478.00	550.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:24:13 PM	33.6004	-114.9093	29000.00	? 92¡	480.00	552.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:24:43 PM	33.598	-114.8274	29000.00	? 92¡	480.00	552.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:25:07 PM	33.5947	-114.766	29000.00	? 97¡	484.00	557.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:25:50 PM	33.5748	-114.6521	29000.00	? 103¡	488.00	562.00	Level	ÊFlightAware ADS-BÊ(KHII)
Fri 08:26:20 PM	33.56	-114.5754	29000.00	? 103¡	489.00	563.00	-25Ê	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:26:50 PM	33.5445	-114.4951	28975.00	? 103¡	488.00	562.00	-550Ê	ÊFlightAware ADS-BÊ(KHII)
Fri 08:27:20 PM	33.529	-114.416	28450.00	? 103¡	490.00	564.00	"-1,050Ê"	ÊFlightAware ADS-BÊ(KIWA)
Fri 08:27:50 PM	33.5126	-114.3326	27925.00	? 103¡	493.00	567.00	"-2,325Ê"	ÊFlightAware ADS-BÊ(KIPL)
Fri 08:28:20 PM	33.4969	-114.2543	26125.00	? 103¡	494.00	568.00	"-2,650Ê"	ÊFlightAware ADS-BÊ(KIPL)
Fri 08:28:50 PM	33.4811	-114.1752	25275.00	? 104¡	471.00	542.00	"-1,131Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:29:21 PM	33.4658	-114.0984	24975.00	? 103¡	469.00	540.00	-295Ê	ÊFlightAware ADS-BÊ(KCHD)
Fri 08:29:51 PM	33.4509	-114.0242	24975.00	? 104¡	456.00	525.00	25Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:30:21 PM	33.4358	-113.9486	25000.00	? 103¡	450.00	518.00	25Ê	ÊFlightAware ADS-BÊ(KLUF)
Fri 08:30:52 PM	33.4217	-113.8774	25000.00	? 104¡	450.00	518.00	Level	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:31:22 PM	33.407	-113.8048	25000.00	? 104¡	450.00	518.00	Level	ÊFlightAware ADS-BÊ(KCHD)
Fri 08:31:52 PM	33.3922	-113.731	25000.00	? 104¡	449.00	517.00	-148Ê	ÊFlightAware ADS-BÊ(KCHD)
Fri 08:32:23 PM	33.377	-113.6562	24850.00	? 104¡	447.00	514.00	"-1,082Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:32:53 PM	33.3625	-113.5845	23900.00	? 103¡	435.00	501.00	"-2,100Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:33:23 PM	33.3489	-113.5171	22750.00	? 104¡	428.00	493.00	"-1,932Ê"	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:33:52 PM	33.3352	-113.4493	22000.00	? 102¡	417.00	480.00	-738Ê	ÊFlightAware ADS-BÊ(KHOU)
Fri 08:34:24 PM	33.3233	-113.38	22000.00	? 102¡	418.00	481.00	Level	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:34:54 PM	33.3113	-113.3104	22000.00	? 102¡	419.00	482.00	-925Ê	ÊFlightAware ADS-BÊ(KAVQ)
Fri 08:35:24 PM	33.2999	-113.2447	21075.00	? 102¡	411.00	473.00	"-1,950Ê"	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:35:54 PM	33.2893	-113.1753	20050.00	? 100¡	401.00	461.00	"-1,900Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:36:24 PM	33.2806	-113.113	19175.00	? 100¡	402.00	463.00	"-1,344Ê"	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:36:42 PM	33.2759	-113.0715	18975.00	? 94¡	392.00	451.00	-231Ê	ÊFlightAware ADS-BÊ(KGEU)
Fri 08:37:16 PM	33.2762	-113.0009	18975.00	? 89¡	376.00	433.00	-703Ê	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:37:46 PM	33.2776	-112.9418	18225.00	? 88¡	368.00	423.00	"-1,650Ê"	ÊFlightAware ADS-BÊ(KBXK)
Fri 08:38:16 PM	33.279	-112.8799	17325.00	? 89¡	362.00	417.00	"-1,319Ê"	ÊFlightAware ADS-BÊ(KDMA)
Fri 08:38:44 PM	33.2803	-112.8251	16950.00	? 87¡	355.00	409.00	-381Ê	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:39:15 PM	33.2857	-112.7661	16950.00	? 84¡	347.00	399.00	-270Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:39:45 PM	33.2911	-112.7088	16675.00	? 84¡	340.00	391.00	"-1,000Ê"	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:40:15 PM	33.2965	-112.6531	15950.00	? 84¡	332.00	382.00	"-1,475Ê"	ÊFlightAware ADS-BÊ(KCHD)
Fri 08:40:45 PM	33.3013	-112.5998	15200.00	? 84¡	326.00	375.00	"-1,475Ê"	ÊFlightAware ADS-BÊ(KTUS)
Fri 08:41:15 PM	33.3063	-112.546	14475.00	? 84¡	321.00	369.00	"-1,475Ê"	ÊFlightAware ADS-BÊ(KLUF)
Fri 08:41:45 PM	33.3112	-112.4938	13725.00	? 84¡	318.00	366.00	"-1,500Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:42:15 PM	33.3161	-112.4396	12975.00	? 84¡	316.00	364.00	"-1,450Ê"	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:42:45 PM	33.3206	-112.3894	12275.00	? 84¡	321.00	369.00	"-1,500Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:43:15 PM	33.3257	-112.3345	11475.00	? 84¡	316.00	364.00	"-1,525Ê"	ÊFlightAware ADS-BÊ(KCHD)
Fri 08:43:45 PM	33.3303	-112.2846	10750.00	? 84¡	312.00	359.00	"-1,525Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:44:14 PM	33.3349	-112.2331	9975.00	? 84¡	307.00	353.00	"-1,297Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:44:44 PM	33.3389	-112.1879	9475.00	? 84¡	295.00	339.00	-800Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:45:14 PM	33.3435	-112.1395	9175.00	? 84¡	273.00	314.00	-550Ê	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:45:44 PM	33.3475	-112.0948	8925.00	? 86¡	253.00	291.00	-712Ê	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:46:13 PM	33.3473	-112.055	8475.00	? 91¡	246.00	283.00	-992Ê	ÊFlightAware ADS-BÊ(KDVT)
Fri 08:46:43 PM	33.3467	-112.0142	7950.00	? 91¡	241.00	277.00	"-1,025Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:47:13 PM	33.3461	-111.9747	7450.00	? 91¡	237.00	273.00	-889Ê	ÊFlightAware ADS-B
Fri 08:47:37 PM	33.3455	-111.9439	7150.00	? 92¡	224.00	258.00	-900Ê	ÊFlightAware ADS-BÊ(KCGZ)
Fri 08:47:53 PM	33.3451	-111.9276	6850.00	? 92¡	215.00	247.00	"-1,419Ê"	ÊFlightAware ADS-BÊ(KIWA)
Fri 08:48:14 PM	33.3447	-111.9025	6275.00	? 90¡	213.00	245.00	"-1,581Ê"	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:48:30 PM	33.3445	-111.8839	5875.00	? 91¡	212.00	244.00	"-1,406Ê"	ÊFlightAware ADS-BÊ(KPHX)
Fri 08:48:46 PM	33.3444	-111.8643	5525.00	? 90¡	211.00	243.00	"-1,409Ê"	ÊFlightAware ADS-BÊ(KCHD)
Fri 08:49:03 PM	33.3448	-111.8424	5100.00	? 81¡	212.00	244.00	"-1,364Ê"	ÊFlightAware ADS-B
Fri 08:49:19 PM	33.3518	-111.828	4775.00	? 43¡	211.00	243.00	"-1,219Ê"	ÊFlightAware ADS-BÊ(KIWA)
Fri 08:49:35 PM	33.3652	-111.8221	4450.00	? 4¡	205.00	236.00	"-1,313Ê"	ÊFlightAware ADS-BÊ(KSDL)
Fri 08:49:59 PM	33.3894	-111.8204	3900.00	? 4¡	204.00	235.00	"-1,350Ê"	ÊFlightAware ADS-BÊ(KFFZ)
Fri 08:50:15 PM	33.4041	-111.822	3550.00	? 338¡	199.00	229.00	-962Ê	ÊFlightAware ADS-BÊ(KFFZ)
